,full_text,username
126,"@moviemenfes if you’re okay with lgbt themed series, What Did You Eat Yesterday? bisa kamu tonton nder, tiap scene masak, tokohnya juga sambil nyebutin resep dan cara masaknya https://t.co/oGMmSQXcys",jerabugi
127,@monsieurturc_09 Lgbt,k_krbt58
128,@glamgoddess11 Partisipasi masyarakat menciptakan pemerintahan yang lebih terbuka dalam advokasi hak-hak LGBT.,ibnu_guntur3
129,"@BLLRCHMD Bila bendera LGBT auto kurang cerdik. Yang India haritu pun bendera LGBT, back up la tu kononnya. Ptuihhhhhh!",Aldehyde_2317
130,@VallixYeah Lgbt?,ErglisP
131,@tanyakanrl ini kayanya yg pernah ajuin pertanyaan di acara sharing time nya ust. Hanan attaki deh..yg dia ngaku dulu mantan kaum LGBT...,melyst94
132,"mau beli jersey england, eh ada bendera lgbt nya sampah🤢",inchgga
133,@KittenDrawer tje. lgbt screaming adam brothers,gontierkult
134,lgbt?,tthisllovee
135,Diluar konteks yang lagi rame nih.  Penasaran aja homophobic ama straight bedanya apa?   Istilah homophobic muncul dari orang2 lgbt itu sendiri kah!?    Soalnya kek aneh aja straight tapi ngomong homophobic ke sesama straight.   😅😅😅,fikrishb01
136,"sedikit lagi hehehe, tambahan  Saya tidak membenarkan pelaku LGBT, dan saya juga tidak membenarkan pelaku yang menyebarluaskan informasi liar dan sebuah foto yang belum"" tentu sesuai dengan fakta yang ada.""",dittowj
137,@LeonardoOriass @Byanu lgbt KKKKKKKKKKKKKKKKK,magic_sanches
138,"@agusudarmansyah Maaf pak Agus, cuma meneruskan apa yang disampaikan dari guru perihal fiqh haji",fai_bigheart
139,@sunafemme kinda lgbt no?,arugomasqrde
140,@FGaitho237 @kibeandy @AzziadNasenya @KabarakUniv Sasa unasupport LGBT au,IngineerF
141,@txtdrkonoha HANYA AGAMA ISLAM MENOLAK LGBT.,akdintanjung
142,"Gimana cara ngasih tau orang yg gay/lesbi kalau LGBT itu penyimpangan? bukan kebebasan ataupun hak. We support rights, not deviance.",Melanicndrfa
143,@HildaSaoPaulino @TheFire_Club Lgbt,Rafa_Epics_
144,@cii_MS @SoftWarNews Dikira muslim gabisa lgbt apa? 😀,Filsuf123456
145,@Kokone_Rainii LGBT :3,sillieststarr
146,"@mengsmol Jelass wkwkw cm banyak yg marah2 katanya bercandain bencana, padahal mereka jg sering bilang adanya azab karna ada LGBT (ak ga dukung lgbt tp ga setuju dengan pernyataan itu), giliran yg dia dukung menang dan dikaitkan hal ini pada ga terima, standar ganda bat",krasivaluna
147,"@AdekNyaIpinn eh bersetubuh lo pada ya, the nuruls itu ditujukan untuk yg cewek2 berhijab/muslimah tapi beli soju halal karena pengen mabok ala ala drakor tapi tetap pengen halal, muslimah yg NO soal lgbt tapi nge ship per homo/bl an artis/karakter fiksi, lalu ditambah la outfit, dan konotasi-",itsmeAldichan
148,Rusia Tambahkan Gerakan LGBT ke dalam Daftar Organisasi Ekstremis dan Teroris - Headline Bogor https://t.co/hchnl6eYTR #LGBT #VladimirPutin #teroris #beritahits https://t.co/KZZvH0aA6n,headlinebogor
149,"@Ra_nampol Ya kalau ga sampe ciuman, berarti ngga (mungkin). Gaada bukti juga  Kecuali pelukan sambil kampanye LGBT",_48DEE
150,@ThebestFigen LGBT🤮🤮🤮🤮🤮🤮,Rider72Valkyrie
151,lgbt,david55034076
152,apa hukum puasa bagi kaum lgbt menurut ruang guru,Sentvoler
153,"Apakah merangkul/rangkulan/berpelukan sesama gender itu sudah termasuk ke-kategori LGBT?   jawabannya tidak. tidak ada bukti kuat untuk mengatakan itu termasuk kedalam kategori LGBT"".""",dittowj
154,ahh i see.  Is just leaning or embracing someone from the same gender considered LGBT?  mari mengenal apa itu arti dari LGBT dan apa sanksi untuk pelaku doxxing di-indonesia.,dittowj
155,"@FzySpaghetti @kaenchwan @bukanwibudesu i know, tp apa lgbt jd penyebab sebuah bencana?",akishibee
156,@ZerinhoU lgbt,driweu
157,@ClownWorld_ LGBT 💀,Ahmadmelhem01
158,@zahid_day @kloppizm Lgbt icardi demek,1907Ozuberk
159,@idextratime @bliblidotcom Islamophobic vs pro lgbt  Main di bulan Ramadhan,hezmaan
160,@Mandysegundo lgbt,tiredseventy
161,@after_suckseed @idextratime @bliblidotcom Sekarang kagak tuh inggris marahin tuh karena dia dukung lgbt kebantu sponsor saja,Rifqizuhdi281
162,@mohmaleee LGBT hanya identitas. Homofobia dan transfobia yang sudah mengakar kuat akan mencari cara apapun untuk meniadakan eksistensi penyandang identitas itu. Prinsipnya homosekseksualitas dan transgender berikut variasinya adalah Hak Asasi Manusia sbgmn Yogyakarta Principles.,bisikankalbu911
163,@JungHos30451189 @plutonerium @SoftWarNews ya LGBT itu udah termasuk Lesbian Gay Biseksual Transgender ga nyudutin 1 doang lesbian penyuka sesama jenis antara perempuan gay sesama laki bisex suka laki dan perempuan,Syad_z111
164,GERAKAN LGBT ya guys yaaa... bukan individual-nya... 😆😆😆,danjr666_13
