,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
261,Harold & Kumar Go to White Castle,0,2004,4,0.37446808510638296,0.6790123456790124,0.08510754610425594
262,The Social Network,0,2010,3,0.5148936170212766,0.7777777777777778,0.3003509703154324
263,Road to Perdition,0,2002,4,0.4978723404255319,0.7654320987654322,0.11603798996862384
264,Naruto,1,2002,8,0.09787234042553192,0.851851851851852,0.041430015566840644
265,Blow,0,2001,4,0.5276595744680851,0.7407407407407407,0.11246127577555358
266,Shooter,0,2007,4,0.5276595744680851,0.7037037037037037,0.1452252651014005
267,Big Fish,0,2003,3,0.5319148936170213,0.8024691358024691,0.19199456152517125
268,The Bourne Ultimatum,0,2007,3,0.48936170212765956,0.8024691358024691,0.2764222982758324
269,Public Enemies,0,2009,4,0.6085106382978723,0.6790123456790124,0.131165291103447
270,America's Next Top Model,1,2003,5,0.18723404255319148,0.5061728395061728,0.007864098086526241
271,Sherlock Holmes,0,2009,3,0.548936170212766,0.7530864197530864,0.27340018860080506
272,Love Actually,0,2003,4,0.5914893617021276,0.7530864197530864,0.2090440214029731
273,Closer,0,2004,4,0.4,0.7037037037037037,0.09508205104918566
274,Chappelle's Show,1,2003,5,0.08936170212765958,0.9012345679012347,0.027392966397931828
275,Something's Gotta Give,0,2003,3,0.5446808510638298,0.6419753086419754,0.05307759216993647
276,Grown Ups,0,2010,3,0.4340425531914894,0.54320987654321,0.10899169107205758
277,The Blind Side,0,2009,3,0.548936170212766,0.7530864197530864,0.14281022253396072
278,Quantum of Solace,0,2008,3,0.451063829787234,0.6296296296296295,0.1944281203006856
279,The Ring,0,2002,3,0.4723404255319149,0.691358024691358,0.15072325631325545
280,Trailer Park Boys,1,2001,7,0.10638297872340426,0.8765432098765432,0.01842186358580477
281,Into the Wild,0,2007,4,0.5957446808510638,0.8148148148148148,0.2695316236995119
282,True Grit,0,2010,3,0.46808510638297873,0.7530864197530864,0.14697151986767085
283,Rambo,0,2008,4,0.39148936170212767,0.6790123456790124,0.10086660262409937
284,Stardust,0,2007,3,0.5191489361702127,0.7530864197530864,0.11860865685630938
285,Borgen,1,2010,7,0.24680851063829787,0.8641975308641975,0.010368194797562739
286,The Last Samurai,0,2003,4,0.6553191489361703,0.7777777777777778,0.18917039893170298
287,iCarly,1,2007,6,0.11063829787234043,0.6419753086419754,0.016874437625287498
288,Victorious,1,2010,6,0.10638297872340426,0.6666666666666667,0.010677239127569179
289,The Book of Eli,0,2010,4,0.5021276595744681,0.654320987654321,0.13778395376591018
290,Identity,0,2003,4,0.3829787234042553,0.7160493827160493,0.10599559226075406
291,Merlin,1,2008,8,0.18723404255319148,0.7901234567901235,0.035327602419980224
292,Shrek Forever After,0,2010,2,0.39574468085106385,0.5925925925925926,0.08832628027455128
293,Hairspray,0,2007,2,0.4978723404255319,0.6419753086419754,0.056511907905671385
294,Corpse Bride,0,2005,2,0.32765957446808514,0.7160493827160493,0.11683639122631523
295,Let Me In,0,2010,4,0.49361702127659574,0.691358024691358,0.052992946647309885
296,Monster,0,2003,4,0.46808510638297873,0.7160493827160493,0.06578235608167057
297,Without a Paddle,0,2004,3,0.4042553191489362,0.5308641975308642,0.020739916491901586
298,Once Upon a Time in Mexico,0,2003,4,0.4340425531914894,0.5925925925925926,0.07073367829322884
299,Cloudy with a Chance of Meatballs,0,2009,2,0.3829787234042553,0.6666666666666667,0.0997318235863867
300,Offspring,1,2010,11,0.18723404255319148,0.8395061728395062,0.0020980627196870937
301,Blade II,0,2002,4,0.4978723404255319,0.6419753086419754,0.09454552187712027
